X,Y,ORIENTATION,TIMESTAMP,BEACON_01,BEACON_02,BEACON_03,BEACON_04,BEACON_05,BEACON_06,BEACON_07,BEACON_08,BEACON_09,BEACON_10,BEACON_11
11.7,18.6,180,1615125582683,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,100.0,100.0
11.7,30.4,0,1615117630478,-72.0,-79.2,-87.5,100.0,100.0,100.0,100.0,-86.0,-84.5,100.0,-87.25
11.7,30.4,90,1615117652823,-72.33333333333333,-80.6,-87.25,100.0,100.0,100.0,100.0,-85.33333333333333,-85.33333333333333,100.0,-82.0
11.7,30.4,180,1615117677270,-74.0,-82.66666666666667,-90.33333333333333,100.0,100.0,100.0,100.0,-86.0,100.0,100.0,-83.6
11.7,30.4,270,1615117702733,-74.66666666666667,-84.57142857142857,-92.0,100.0,100.0,100.0,100.0,-91.0,100.0,100.0,-80.0
11.7,33.9,0,1615112554746,-79.5,-90.0,100.0,100.0,100.0,100.0,100.0,100.0,-90.0,100.0,-80.2
11.7,33.9,90,1615112583093,-84.0,-96.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-87.0
11.7,33.9,180,1615112599607,-84.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-92.75,100.0,-81.2
11.7,33.9,270,1615112622703,-85.83333333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-86.5,100.0,-82.2
13.4,6.9,0,1615120502555,100.0,100.0,100.0,-70.0,-72.0,-84.0,-90.0,100.0,100.0,100.0,100.0
13.4,6.9,90,1615120531948,100.0,100.0,100.0,-60.0,100.0,-87.0,100.0,100.0,100.0,100.0,100.0
13.4,6.9,180,1615120553936,100.0,100.0,100.0,-63.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13.4,6.9,270,1615120579742,100.0,100.0,100.0,-70.0,-84.5,100.0,-85.0,100.0,100.0,100.0,100.0
13.4,18.6,0,1615125643168,100.0,100.0,100.0,100.0,100.0,100.0,-89.0,100.0,100.0,100.0,100.0
13.4,30.4,0,1615117753609,-69.33333333333333,-77.75,-84.5,100.0,100.0,100.0,100.0,-84.0,-88.5,100.0,-86.66666666666667
13.4,30.4,90,1615117777939,-77.2,-81.66666666666667,-89.16666666666667,100.0,100.0,100.0,100.0,-86.0,-93.0,100.0,-86.0
13.4,30.4,180,1615117801169,-79.16666666666667,-82.6,-88.5,100.0,100.0,100.0,100.0,-89.25,100.0,100.0,-85.0
13.4,30.4,270,1615117823232,-63.6,-84.0,-90.0,100.0,100.0,100.0,100.0,-90.33333333333333,-89.0,100.0,-87.75
14.6,32.9,0,1615113682640,-85.5,-86.5,100.0,100.0,100.0,100.0,100.0,-87.75,-70.25,100.0,100.0
14.6,32.9,90,1615113706958,-89.5,-85.33333333333333,100.0,100.0,100.0,100.0,100.0,-90.0,-74.0,100.0,100.0
14.6,32.9,180,1615113731969,100.0,-88.33333333333333,100.0,100.0,100.0,100.0,100.0,-88.5,-69.33333333333333,100.0,-97.0
14.6,32.9,270,1615113752974,-90.0,-87.0,100.0,100.0,100.0,100.0,100.0,-89.5,-68.42857142857143,100.0,100.0
14.6,34.6,0,1615113560595,-87.0,-80.5,100.0,100.0,100.0,100.0,100.0,-87.66666666666667,-74.8,100.0,100.0
14.6,34.6,90,1615113590500,100.0,-90.33333333333333,100.0,100.0,100.0,100.0,100.0,-83.75,-70.4,100.0,100.0
14.6,34.6,180,1615113616269,-88.66666666666667,-85.0,-92.0,100.0,100.0,100.0,100.0,-87.66666666666667,-72.66666666666667,100.0,100.0
14.6,34.6,270,1615113637755,-89.5,-85.0,-94.0,100.0,100.0,100.0,100.0,-88.75,-70.0,100.0,100.0
15.1,6.9,0,1615120614900,100.0,100.0,100.0,100.0,100.0,-80.5,100.0,100.0,100.0,100.0,100.0
15.1,6.9,90,1615120640870,100.0,100.0,100.0,-72.5,-77.75,-80.5,-89.2,100.0,100.0,100.0,100.0
15.1,6.9,180,1615120670240,100.0,100.0,100.0,-80.0,-86.0,-86.0,100.0,100.0,100.0,100.0,100.0
